drug_cellline	depmap_dependency_score
Captopril_CVCL_0525	0.1004734842633473
Captopril_CVCL_1245	0.0260687584798661
Captopril_CVCL_0555	0.1862802463321156
Captopril_CVCL_1239	0.0249135235531369
Captopril_CVCL_0359	0.1489855471651019
Captopril_CVCL_1638	0.0436408610466252
Captopril_CVCL_1729	0.0258978383645999
Captopril_CVCL_1603	0.0545490205114966
Captopril_CVCL_1715	0.1601880907300467
Captopril_CVCL_1392	0.0821773505028644
Captopril_CVCL_3015	0.0226116136184178
Captopril_CVCL_0459	0.0212690624155323
Captopril_CVCL_1718	0.0167617040873179
Captopril_CVCL_0544	0.0900433633872902
Captopril_CVCL_0366	0.2061693624374146
Captopril_CVCL_1495	0.2567495271395731
Captopril_CVCL_1383	0.063927648963834
Captopril_CVCL_0060	0.0820449333639324
Captopril_CVCL_0608	0.0748581272598261
Captopril_CVCL_1517	0.1303531147603022
Captopril_CVCL_0186	0.0853925086848362
Captopril_CVCL_0320	0.1436565456027667
Captopril_CVCL_0131	0.0311870696682891
Captopril_CVCL_1097	0.078939428917281
Captopril_CVCL_0428	0.0266171771450869
Captopril_CVCL_0547	0.0969471455347844
Captopril_CVCL_1720	0.0399293781210893
Captopril_CVCL_0023	0.2204866067550717
Captopril_CVCL_1195	0.0348302651610021
Captopril_CVCL_1055	0.1273489882963156
Captopril_CVCL_1693	0.0311101892083941
Captopril_CVCL_0371	0.3404684096424919
Captopril_CVCL_0851	0.0462067865638275
Captopril_CVCL_1352	0.1565640496682491
Captopril_CVCL_0039	0.0745435306498056
Captopril_CVCL_1524	0.0829991128454574
Captopril_CVCL_1465	0.0242482906404626
Captopril_CVCL_1577	0.1127432171325148
Captopril_CVCL_1559	0.0723865750881832
Captopril_CVCL_1285	0.0588831984132939
Captopril_CVCL_0139	0.0285739900456557
Captopril_CVCL_3613	0.0217661587557804
Captopril_CVCL_1716	0.0786729731616205
Captopril_CVCL_1547	0.0192457664317728
Captopril_CVCL_1478	0.0293544421279659
Captopril_CVCL_0099	0.1064860577986225
Captopril_CVCL_0504	0.0610529323134113
Captopril_CVCL_0399	0.0038511973302069
Captopril_CVCL_0397	0.0170836113668847
Captopril_CVCL_1724	0.1900314240250823
Captopril_CVCL_0291	0.085626338588717
Captopril_CVCL_1456	0.0622279275627313
Captopril_CVCL_1385	0.0436879390930202
Captopril_CVCL_0292	0.0583857534917711
Captopril_CVCL_0218	0.0024306654242687
Captopril_CVCL_0248	0.1174358203556597
Captopril_CVCL_1266	0.037084697946603
Captopril_CVCL_0069	0.1179983473802159
Captopril_CVCL_1094	0.0446563109540036
Captopril_CVCL_2610	0.0611955022504558
Captopril_CVCL_1282	0.0914896912182704
Esmolol (hydrochloride)_CVCL_0031	0.0084920719433601
Esmolol (hydrochloride)_CVCL_1639	0.0070520426718315
Esmolol (hydrochloride)_CVCL_1125	0.0043064323203907
Esmolol (hydrochloride)_CVCL_1119	0.0096889263058169
Esmolol (hydrochloride)_CVCL_1635	0.0157264610715446
Esmolol (hydrochloride)_CVCL_0332	0.004817783660474
Esmolol (hydrochloride)_CVCL_0480	0.0113887472130067
Esmolol (hydrochloride)_CVCL_0334	0.0045783477414255
Esmolol (hydrochloride)_CVCL_0152	0.0189173979003144
Esmolol (hydrochloride)_CVCL_1987	0.0102534047004108
Esmolol (hydrochloride)_CVCL_1183	0.0054386413909042
Esmolol (hydrochloride)_CVCL_0950	0.018446984159307
Esmolol (hydrochloride)_CVCL_1329	0.0064615883501532
Esmolol (hydrochloride)_CVCL_0078	0.0027302007041277
Esmolol (hydrochloride)_CVCL_1531	0.0026020286113849
Esmolol (hydrochloride)_CVCL_1118	0.0077438474523232
Esmolol (hydrochloride)_CVCL_1666	0.0031498919359029
Esmolol (hydrochloride)_CVCL_0525	0.0064039862553022
Esmolol (hydrochloride)_CVCL_1245	0.0025474935786864
Esmolol (hydrochloride)_CVCL_0555	0.0052350595222184
Esmolol (hydrochloride)_CVCL_1239	0.0127442144168671
Esmolol (hydrochloride)_CVCL_0359	0.006078588995849
Esmolol (hydrochloride)_CVCL_1638	0.0064224822076672
Esmolol (hydrochloride)_CVCL_1729	0.0170609278548777
Esmolol (hydrochloride)_CVCL_1603	0.0005997920798024
Esmolol (hydrochloride)_CVCL_1715	0.0044271324245361
Esmolol (hydrochloride)_CVCL_1392	0.0054940961510812
Esmolol (hydrochloride)_CVCL_3015	0.0040028938642036
Esmolol (hydrochloride)_CVCL_0459	0.0091343696953798
Esmolol (hydrochloride)_CVCL_1718	0.0419355456867794
Esmolol (hydrochloride)_CVCL_0544	0.0065572686746743
Esmolol (hydrochloride)_CVCL_0366	0.0113054859140201
Esmolol (hydrochloride)_CVCL_1495	0.0317639686743603
Esmolol (hydrochloride)_CVCL_1383	0.001435634354506
Esmolol (hydrochloride)_CVCL_0060	0.0084617250318549
Esmolol (hydrochloride)_CVCL_0608	0.0060023982351473
Esmolol (hydrochloride)_CVCL_1517	0.0072218324921379
Esmolol (hydrochloride)_CVCL_0186	0.012119967492293
Esmolol (hydrochloride)_CVCL_0320	0.0047580824098259
Esmolol (hydrochloride)_CVCL_0131	0.0205614315615924
Esmolol (hydrochloride)_CVCL_1097	0.0040075368800461
Esmolol (hydrochloride)_CVCL_0428	0.0044933031476417
Esmolol (hydrochloride)_CVCL_0547	0.0053108459918869
Esmolol (hydrochloride)_CVCL_1720	0.0035876251393684
Esmolol (hydrochloride)_CVCL_0023	0.0014033218681841
Esmolol (hydrochloride)_CVCL_1195	0.0036765094536907
Esmolol (hydrochloride)_CVCL_1055	0.0025650142738619
Esmolol (hydrochloride)_CVCL_1693	0.0084842696678467
Esmolol (hydrochloride)_CVCL_0371	0.0037236491021771
Esmolol (hydrochloride)_CVCL_0851	0.0109962068808776
Esmolol (hydrochloride)_CVCL_1352	0.0046978686258005
Esmolol (hydrochloride)_CVCL_0039	0.0292209537182336
Esmolol (hydrochloride)_CVCL_1524	0.0068595835952717
Esmolol (hydrochloride)_CVCL_1465	0.0032640176177451
Esmolol (hydrochloride)_CVCL_1577	0.0056636703636464
Esmolol (hydrochloride)_CVCL_1559	0.001993265154779
Esmolol (hydrochloride)_CVCL_1285	0.0035984508568442
Esmolol (hydrochloride)_CVCL_0139	0.0019349151101132
Esmolol (hydrochloride)_CVCL_3613	0.0062944135874696
Esmolol (hydrochloride)_CVCL_1716	0.0060305658648184
Esmolol (hydrochloride)_CVCL_1547	0.0036553930321879
Esmolol (hydrochloride)_CVCL_1478	0.0234531664325805
Esmolol (hydrochloride)_CVCL_0099	0.0008750956285903
Esmolol (hydrochloride)_CVCL_0504	0.0059900663783529
Esmolol (hydrochloride)_CVCL_0399	0.0085539324571749
Esmolol (hydrochloride)_CVCL_0397	0.0022595095698268
Esmolol (hydrochloride)_CVCL_1724	0.0049209331080174
Esmolol (hydrochloride)_CVCL_0291	0.0032739027161966
Esmolol (hydrochloride)_CVCL_1456	0.0065517918275306
Esmolol (hydrochloride)_CVCL_1385	0.006061067977867
Esmolol (hydrochloride)_CVCL_0292	0.0171797709576995
Esmolol (hydrochloride)_CVCL_0218	0.0111449346745791
Esmolol (hydrochloride)_CVCL_0248	0.0024956408714393
Esmolol (hydrochloride)_CVCL_1266	0.0211609776813019
Esmolol (hydrochloride)_CVCL_0069	0.0178643206703803
Esmolol (hydrochloride)_CVCL_1094	0.0161250250746548
Esmolol (hydrochloride)_CVCL_2610	0.0037690925124952
Esmolol (hydrochloride)_CVCL_1282	0.0034002097370628
Indacaterol (maleate)_CVCL_0031	0.0094649401480712
Indacaterol (maleate)_CVCL_1639	0.0008805795984372
Indacaterol (maleate)_CVCL_1125	0.0068780843237293
Indacaterol (maleate)_CVCL_1119	0.0037090470247105
Indacaterol (maleate)_CVCL_1635	0.0099380103172525
Indacaterol (maleate)_CVCL_0332	0.0388193674502954
Indacaterol (maleate)_CVCL_0480	0.0137521779002672
Indacaterol (maleate)_CVCL_0334	0.1786444741443287
Indacaterol (maleate)_CVCL_0152	0.0226350165361087
Indacaterol (maleate)_CVCL_1987	0.0340930727990974
Indacaterol (maleate)_CVCL_1183	0.0052949431611606
Indacaterol (maleate)_CVCL_0950	0.0187946731645744
Indacaterol (maleate)_CVCL_1329	0.0062887214099932
Indacaterol (maleate)_CVCL_0078	0.0133001730895135
Indacaterol (maleate)_CVCL_1531	0.0099257155020714
Indacaterol (maleate)_CVCL_1118	0.0097497918685931
Indacaterol (maleate)_CVCL_1666	0.0367859305266217
Indacaterol (maleate)_CVCL_0525	0.0069876583382109
Indacaterol (maleate)_CVCL_1245	0.012209880954838
Indacaterol (maleate)_CVCL_0555	0.0189458391154563
Indacaterol (maleate)_CVCL_1239	0.008766400967766
Indacaterol (maleate)_CVCL_0359	0.0108797801554301
Indacaterol (maleate)_CVCL_1638	0.026971246617021
Indacaterol (maleate)_CVCL_1729	0.0223292684478619
Indacaterol (maleate)_CVCL_1603	0.0135844603270039
Indacaterol (maleate)_CVCL_1715	0.0125891414108828
Indacaterol (maleate)_CVCL_1392	0.0531130359827469
Indacaterol (maleate)_CVCL_3015	0.0406671401012468
Indacaterol (maleate)_CVCL_0459	0.0121240238077058
Indacaterol (maleate)_CVCL_1718	0.0120526439853504
Indacaterol (maleate)_CVCL_0544	0.0467431101427059
Indacaterol (maleate)_CVCL_0366	0.0024493145396286
Indacaterol (maleate)_CVCL_1495	0.0345070884893304
Indacaterol (maleate)_CVCL_1383	0.0021852642913552
Indacaterol (maleate)_CVCL_0060	0.0365118751363678
Indacaterol (maleate)_CVCL_0608	0.0170828345258175
Indacaterol (maleate)_CVCL_1517	0.0054150119776701
Indacaterol (maleate)_CVCL_0186	0.0202361514720244
Indacaterol (maleate)_CVCL_0320	0.0286744929392917
Indacaterol (maleate)_CVCL_0131	0.0420502685146302
Indacaterol (maleate)_CVCL_1097	0.0239462676989428
Indacaterol (maleate)_CVCL_0428	0.0132352418354364
Indacaterol (maleate)_CVCL_0547	0.0097018720950915
Indacaterol (maleate)_CVCL_1720	0.0322546774087567
Indacaterol (maleate)_CVCL_0023	0.0091915811017346
Indacaterol (maleate)_CVCL_1195	0.0120411469816897
